start,code,year,flfp,time,timec
24.9,TJK,2024,23.2,NA,NA
24.9,TJK,2015,24.9,NA,NA
24.9,TJK,2016,24,NA,NA
24.9,TJK,2021,21.6,NA,NA
24.9,TJK,2022,22.5,NA,NA
24.9,TJK,2023,22.9,NA,NA
24.9,TJK,2020,21.5,NA,NA
24.9,TJK,2017,23.2,NA,NA
24.9,TJK,2018,22.4,NA,NA
24.9,TJK,2019,21.6,NA,NA
24.9,TJK,2025,23.2,NA,NA
25.1,PAK,2024,25.5,322.600251056133,331.600251056133
25.1,PAK,2023,25.5,322.600251056133,330.600251056133
25.1,PAK,2018,22.5,322.600251056133,325.600251056133
25.1,PAK,2016,24.2,322.600251056133,323.600251056133
25.1,PAK,2021,25.8,322.600251056133,328.600251056133
25.1,PAK,2015,25.1,322.600251056133,322.600251056133
25.1,PAK,2025,25.6,322.600251056133,332.600251056133
25.1,PAK,2019,24.6,322.600251056133,326.600251056133
25.1,PAK,2022,25.5,322.600251056133,329.600251056133
25.1,PAK,2020,24.8,322.600251056133,327.600251056133
25.1,PAK,2017,23.3,322.600251056133,324.600251056133
25.9,MAR,2015,25.9,NA,NA
25.9,MAR,2016,24.8,NA,NA
25.9,MAR,2017,24,NA,NA
25.9,MAR,2018,23.8,NA,NA
25.9,MAR,2019,23.6,NA,NA
25.9,MAR,2020,22.3,NA,NA
25.9,MAR,2021,22.3,NA,NA
25.9,MAR,2022,21.2,NA,NA
25.9,MAR,2023,21.4,NA,NA
25.9,MAR,2024,21.6,NA,NA
25.9,MAR,2025,21.5,NA,NA
27.6,MRT,2016,27.4,336.404860619256,337.404860619256
27.6,MRT,2018,27.2,336.404860619256,339.404860619256
27.6,MRT,2017,27.2,336.404860619256,338.404860619256
27.6,MRT,2024,27.2,336.404860619256,345.404860619256
27.6,MRT,2022,27,336.404860619256,343.404860619256
27.6,MRT,2019,27.2,336.404860619256,340.404860619256
27.6,MRT,2021,27,336.404860619256,342.404860619256
27.6,MRT,2015,27.6,336.404860619256,336.404860619256
27.6,MRT,2023,27.1,336.404860619256,344.404860619256
27.6,MRT,2020,26.8,336.404860619256,341.404860619256
27.6,MRT,2025,27.1,336.404860619256,346.404860619256
