y,time
20.6,294.678682428682
20.7,295.345349095349
20.8,296.012015762016
20.9,296.678682428682
21,297.345349095349
21.1,298.012015762016
21.2,298.678682428683
21.3,299.345349095349
21.4,300.012015762016
21.5,300.678682428683
21.6,301.345349095349
21.7,302.012015762016
21.8,302.637015762016
21.9,303.262015762016
22,303.887015762016
22.1,304.512015762016
22.2,305.137015762016
22.3,305.762015762016
22.4,306.387015762016
22.5,307.012015762016
22.6,307.637015762016
22.7,308.262015762016
22.8,308.887015762016
22.9,309.512015762016
23,310.137015762016
23.1,310.762015762016
23.2,311.387015762016
23.3,312.012015762016
23.4,312.600251056134
23.5,313.188486350251
23.6,313.776721644369
23.7,314.364956938486
23.8,314.953192232604
23.9,315.541427526722
24,316.129662820839
24.1,316.717898114957
24.2,317.306133409075
24.3,317.894368703192
24.4,318.48260399731
24.5,319.070839291427
24.6,319.659074585545
24.7,320.247309879663
24.8,320.83554517378
24.9,321.423780467898
25,322.012015762016
25.1,322.600251056133
25.2,323.188486350251
25.3,323.744041905806
25.4,324.299597461362
25.5,324.855153016917
25.6,325.410708572473
25.7,325.966264128029
25.8,326.521819683584
25.9,327.07737523914
26,327.632930794695
26.1,328.188486350251
26.2,328.744041905806
26.3,329.299597461362
26.4,329.855153016917
26.5,330.410708572473
26.6,330.966264128028
26.7,331.521819683584
26.8,332.07737523914
26.9,332.632930794695
27,333.188486350251
27.1,333.744041905806
27.2,334.299597461362
27.3,334.825913250835
27.4,335.352229040309
27.5,335.878544829783
27.6,336.404860619256
27.7,336.93117640873
27.8,337.457492198204
27.9,337.983807987678
28,338.510123777151
28.1,339.036439566625
28.2,339.562755356099
28.3,340.089071145572
28.4,340.615386935046
28.5,341.14170272452
28.6,341.668018513993
28.7,342.194334303467
28.8,342.720650092941
28.9,343.246965882415
29,343.773281671888
29.1,344.299597461362
29.2,344.825913250836
29.3,345.352229040309
29.4,345.878544829783
29.5,346.404860619257
29.6,346.93117640873
29.7,347.457492198204
29.8,347.957492198204
29.9,348.457492198204
30,348.957492198204
30.1,349.457492198204
30.2,349.957492198204
30.3,350.457492198204
30.4,350.957492198204
30.5,351.457492198204
30.6,351.957492198204
30.7,352.457492198204
30.8,352.957492198204
30.9,353.457492198204
31,353.957492198204
31.1,354.457492198204
31.2,354.957492198204
31.3,355.457492198204
31.4,355.957492198204
31.5,356.457492198204
31.6,356.957492198204
31.7,357.457492198204
31.8,357.957492198204
31.9,358.457492198204
32,358.957492198204
32.1,359.457492198204
32.2,359.957492198204
32.3,360.457492198204
32.4,360.957492198204
32.5,361.457492198204
32.6,361.957492198204
32.7,362.457492198204
32.8,362.957492198204
32.9,363.433682674395
33,363.909873150585
33.1,364.386063626776
33.2,364.862254102966
33.3,365.338444579157
33.4,365.814635055347
33.5,366.290825531538
33.6,366.767016007728
33.7,367.243206483918
33.8,367.719396960109
33.9,368.195587436299
34,368.67177791249
34.1,369.14796838868
34.2,369.624158864871
34.3,370.100349341061
34.4,370.576539817252
34.5,371.052730293442
34.6,371.528920769633
34.7,372.005111245823
34.8,372.481301722014
34.9,372.957492198204
35,373.433682674395
35.1,373.909873150585
35.2,374.386063626776
35.3,374.862254102966
35.4,375.338444579157
35.5,375.814635055347
35.6,376.290825531538
35.7,376.767016007728
35.8,377.243206483919
35.9,377.719396960109
36,378.1955874363
36.1,378.67177791249
36.2,379.14796838868
36.3,379.624158864871
36.4,380.100349341061
36.5,380.576539817252
36.6,381.052730293442
36.7,381.528920769633
36.8,382.005111245823
36.9,382.481301722014
37,382.957492198204
37.1,383.433682674395
37.2,383.909873150585
37.3,384.386063626776
37.4,384.862254102966
37.5,385.338444579157
37.6,385.814635055347
37.7,386.290825531538
37.8,386.767016007728
37.9,387.243206483919
38,387.719396960109
38.1,388.1955874363
38.2,388.650132890845
38.3,389.104678345391
38.4,389.559223799936
38.5,390.013769254481
38.6,390.468314709027
38.7,390.922860163572
38.8,391.377405618118
38.9,391.831951072663
39,392.286496527209
39.1,392.741041981754
39.2,393.1955874363
39.3,393.650132890845
39.4,394.10467834539
39.5,394.559223799936
39.6,395.013769254481
39.7,395.468314709027
39.8,395.922860163572
39.9,396.377405618118
40,396.831951072663
40.1,397.286496527208
40.2,397.741041981754
40.3,398.195587436299
40.4,398.650132890845
40.5,399.10467834539
40.6,399.559223799936
40.7,400.013769254481
40.8,400.468314709027
40.9,400.922860163572
41,401.377405618117
41.1,401.831951072663
41.2,402.286496527208
41.3,402.741041981754
41.4,403.195587436299
41.5,403.650132890845
41.6,404.10467834539
41.7,404.559223799935
41.8,405.013769254481
41.9,405.468314709026
42,405.922860163572
42.1,406.377405618117
42.2,406.831951072663
42.3,407.286496527208
42.4,407.741041981754
42.5,408.195587436299
42.6,408.650132890844
42.7,409.10467834539
42.8,409.559223799935
42.9,410.013769254481
43,410.468314709026
43.1,410.922860163572
43.2,411.377405618117
43.3,411.831951072662
43.4,412.286496527208
43.5,412.741041981753
43.6,413.195587436299
43.7,413.650132890844
43.8,414.10467834539
43.9,414.559223799935
44,415.013769254481
44.1,415.468314709026
44.2,415.922860163571
44.3,416.377405618117
44.4,416.831951072662
44.5,417.286496527208
44.6,417.741041981753
44.7,418.217232457944
44.8,418.693422934134
44.9,419.169613410325
45,419.645803886515
45.1,420.121994362706
45.2,420.598184838896
45.3,421.074375315087
45.4,421.550565791277
45.5,422.026756267468
45.6,422.502946743658
45.7,422.979137219848
45.8,423.455327696039
45.9,423.931518172229
46,424.40770864842
46.1,424.88389912461
46.2,425.360089600801
46.3,425.836280076991
46.4,426.312470553182
46.5,426.788661029372
46.6,427.264851505563
46.7,427.741041981753
46.8,428.217232457944
46.9,428.693422934134
47,429.169613410325
47.1,429.645803886515
47.2,430.121994362706
47.3,430.598184838896
47.4,431.074375315087
47.5,431.550565791277
47.6,432.026756267468
47.7,432.502946743658
47.8,432.979137219849
47.9,433.455327696039
48,433.93151817223
48.1,434.40770864842
48.2,434.883899124611
48.3,435.360089600801
48.4,435.836280076991
48.5,436.312470553182
48.6,436.788661029372
48.7,437.264851505563
48.8,437.741041981753
48.9,438.217232457944
49,438.693422934134
49.1,439.169613410325
49.2,439.645803886515
49.3,440.121994362706
49.4,440.598184838896
49.5,441.074375315087
49.6,441.550565791277
49.7,442.026756267468
49.8,442.502946743658
49.9,442.979137219849
50,443.479137219849
50.1,443.979137219849
50.2,444.479137219849
50.3,444.979137219849
50.4,445.479137219849
50.5,445.979137219849
50.6,446.479137219849
50.7,446.979137219849
50.8,447.479137219849
50.9,447.979137219849
51,448.479137219849
51.1,448.979137219849
51.2,449.479137219849
51.3,449.979137219849
51.4,450.479137219849
51.5,450.979137219849
51.6,451.479137219849
51.7,451.979137219849
51.8,452.479137219849
51.9,452.979137219849
52,453.479137219849
52.1,453.979137219849
52.2,454.479137219849
52.3,454.979137219849
52.4,455.479137219849
52.5,455.979137219849
52.6,456.479137219849
52.7,456.979137219849
52.8,457.479137219849
52.9,457.979137219849
53,458.479137219849
53.1,459.005453009322
53.2,459.531768798796
53.3,460.05808458827
53.4,460.584400377744
53.5,461.110716167217
53.6,461.637031956691
53.7,462.163347746165
53.8,462.689663535638
53.9,463.215979325112
54,463.742295114586
54.1,464.268610904059
54.2,464.794926693533
54.3,465.321242483007
54.4,465.84755827248
54.5,466.373874061954
54.6,466.900189851428
54.7,467.426505640902
54.8,467.952821430375
54.9,468.479137219849
55,469.005453009323
55.1,469.531768798796
55.2,470.05808458827
55.3,470.584400377744
55.4,471.110716167218
55.5,471.637031956691
55.6,472.192587512247
55.7,472.748143067802
55.8,473.303698623358
55.9,473.859254178913
56,474.414809734469
56.1,474.970365290024
56.2,475.52592084558
56.3,476.081476401136
56.4,476.637031956691
56.5,477.192587512247
56.6,477.748143067802
56.7,478.303698623358
56.8,478.859254178913
56.9,479.414809734469
57,479.970365290024
57.1,480.52592084558
57.2,481.081476401135
57.3,481.637031956691
57.4,482.192587512247
57.5,482.748143067802
57.6,483.33637836192
57.7,483.924613656037
57.8,484.512848950155
57.9,485.101084244273
58,485.68931953839
58.1,486.277554832508
58.2,486.865790126625
58.3,487.454025420743
58.4,488.042260714861
58.5,488.630496008978
