iso_a2,series,value
GUM,SL.TLF.ACTI.MA.ZS,74.154
GUY,SL.TLF.ACTI.MA.ZS,67.318
HKG,SL.TLF.ACTI.MA.ZS,78.614
HND,SL.TLF.ACTI.MA.ZS,75.629
HRV,SL.TLF.ACTI.MA.ZS,73.429
HTI,SL.TLF.ACTI.MA.ZS,70.368
HUN,SL.TLF.ACTI.MA.ZS,82.202
IDN,SL.TLF.ACTI.MA.ZS,84.045
IMN,SL.TLF.ACTI.MA.ZS,NA
IND,SL.TLF.ACTI.MA.ZS,81.652
IRL,SL.TLF.ACTI.MA.ZS,81.502
IRN,SL.TLF.ACTI.MA.ZS,73.35
IRQ,SL.TLF.ACTI.MA.ZS,75.004
ISL,SL.TLF.ACTI.MA.ZS,90.818
ISR,SL.TLF.ACTI.MA.ZS,76.097
ITA,SL.TLF.ACTI.MA.ZS,75.724
JAM,SL.TLF.ACTI.MA.ZS,79.463
JOR,SL.TLF.ACTI.MA.ZS,66.349
JPN,SL.TLF.ACTI.MA.ZS,87.454
KAZ,SL.TLF.ACTI.MA.ZS,80.7
KEN,SL.TLF.ACTI.MA.ZS,72.294
KGZ,SL.TLF.ACTI.MA.ZS,74.792
KHM,SL.TLF.ACTI.MA.ZS,90.382
KIR,SL.TLF.ACTI.MA.ZS,NA
KNA,SL.TLF.ACTI.MA.ZS,NA
KOR,SL.TLF.ACTI.MA.ZS,77.562
KWT,SL.TLF.ACTI.MA.ZS,89.601
LAO,SL.TLF.ACTI.MA.ZS,72.684
LBN,SL.TLF.ACTI.MA.ZS,NA
LBR,SL.TLF.ACTI.MA.ZS,81.765
LBY,SL.TLF.ACTI.MA.ZS,66.497
LCA,SL.TLF.ACTI.MA.ZS,79.952
LIE,SL.TLF.ACTI.MA.ZS,NA
LKA,SL.TLF.ACTI.MA.ZS,73.031
LSO,SL.TLF.ACTI.MA.ZS,68.086
LTU,SL.TLF.ACTI.MA.ZS,80.11
LUX,SL.TLF.ACTI.MA.ZS,77.888
LVA,SL.TLF.ACTI.MA.ZS,78.715
MAC,SL.TLF.ACTI.MA.ZS,85.285
MAF,SL.TLF.ACTI.MA.ZS,NA
MAR,SL.TLF.ACTI.MA.ZS,73.451
MCO,SL.TLF.ACTI.MA.ZS,NA
MDA,SL.TLF.ACTI.MA.ZS,72.858
MDG,SL.TLF.ACTI.MA.ZS,89.172
MDV,SL.TLF.ACTI.MA.ZS,79.2
MEX,SL.TLF.ACTI.MA.ZS,81.767
MHL,SL.TLF.ACTI.MA.ZS,NA
MKD,SL.TLF.ACTI.MA.ZS,75.96
MLI,SL.TLF.ACTI.MA.ZS,82.322
MLT,SL.TLF.ACTI.MA.ZS,87.646
MMR,SL.TLF.ACTI.MA.ZS,74.251
MNE,SL.TLF.ACTI.MA.ZS,76.353
MNG,SL.TLF.ACTI.MA.ZS,71.512
MNP,SL.TLF.ACTI.MA.ZS,NA
MOZ,SL.TLF.ACTI.MA.ZS,80.721
MRT,SL.TLF.ACTI.MA.ZS,57.772
MUS,SL.TLF.ACTI.MA.ZS,80.043
MWI,SL.TLF.ACTI.MA.ZS,67.8
MYS,SL.TLF.ACTI.MA.ZS,83.146
NAM,SL.TLF.ACTI.MA.ZS,63.877
NCL,SL.TLF.ACTI.MA.ZS,70.626
NER,SL.TLF.ACTI.MA.ZS,86.685
NGA,SL.TLF.ACTI.MA.ZS,84.669
NIC,SL.TLF.ACTI.MA.ZS,83.922
NLD,SL.TLF.ACTI.MA.ZS,88.986
