month,best_est,lat,lon
2022-01-01,3,23.304259,95.707707
2022-02-01,197,25.679728,96.481155
2022-03-01,4,23.957135,98.129121
2022-03-01,2,25.679728,96.481155
2022-05-01,2,21.997479,95.513824
2022-05-01,11,21.997479,95.513824
2022-05-01,1,19.872052,97.04515
2022-06-01,1,13.91924,98.14254
2022-06-01,3,13.924376,98.163883
2022-05-01,20,19.49125,97.341751
2022-06-01,2,22.850291,95.104417
2022-06-01,4,23.069173,95.2171
2023-04-01,4,22.945343,96.427239
2023-04-01,7,22.870232,96.5427
2023-04-01,16,21.369463,95.70817
2023-12-01,4,23.722301,97.626941
2021-03-01,3,16.773994,94.731424
2021-03-01,1,20.661977,96.642802
2021-03-01,2,22.880264,96.095447
2021-03-01,1,21.459974,95.382313
2021-09-01,2,19.531482,97.046837
2021-09-01,2,19.597313,97.211902
2021-09-01,2,19.62286,97.206
2022-02-01,6,25.679728,96.481155
2022-02-01,20,23.173189,94.145293
2022-02-01,16,24.215426,96.37562
2022-05-01,2,19.92934,97.07096
2022-05-01,46,21.911791,95.243136
2022-05-01,18,21.793826,95.343868
2022-06-01,7,21.793826,95.343868
2022-06-01,2,21.77704,95.21239
2022-06-01,1,22.628791,95.233683
2022-06-01,7,21.63452,93.99114
2023-04-01,1,22.271944,96.22111
2023-03-01,1,22.271944,96.22111
2023-04-01,3,22.412343,95.083083
2023-04-01,3,22.577867,95.806672
2021-03-01,3,18.064,97.445
2022-02-01,2,24.215426,96.37562
2022-02-01,2,22.577867,95.806672
2022-02-01,2,21.968699,94.665232
2022-02-01,8,21.968699,94.665232
2022-05-01,6,21.674599,94.882795
2022-05-01,5,22.597965,94.130599
2022-05-01,4,22.149919,94.883721
2022-06-01,2,20.782664,97.034064
2022-06-01,1,21.959283,96.1024
2022-06-01,13,16.291672,98.713558
2022-06-01,30,23.708533,94.15302
2022-06-01,3,23.708533,94.15302
2023-04-01,1,22.628791,95.233683
2023-04-01,33,24.235603,96.063987
2023-04-01,11,24.235603,96.063987
2023-04-01,1,19.690687,94.786213
2023-04-01,2,17.280924,97.327985
2021-03-01,10,17.762026,97.74188
2021-03-01,4,17,96.16667
2021-03-01,3,21.459974,95.382313
2021-09-01,3,16.805255,96.131507
2021-09-01,15,21.411677,94.132761
2021-09-01,17,22.597965,94.130599
2021-12-01,5,23.069173,95.2171
2022-01-01,20,21.476844,93.722247
2022-02-01,4,21.9418,94.75005
2022-02-01,3,20.922044,92.360793
2022-05-01,63,21.56003,95.193129
2022-05-01,1,22.75547,95.56122
2022-05-01,30,22.433609,94.849105
2022-05-01,1,22.279096,94.151406
2022-06-01,6,21.938958,95.556394
2022-06-01,3,21.927259,95.574214
2022-06-01,3,21.859491,96.289814
2022-06-01,1,21.439827,93.762208
2023-02-01,1,21.8787,95.97965
2023-02-01,7,22.03853,95.826002
2023-02-01,1,12.88336,98.67278
2022-12-01,2,12.86724,98.65982
2023-02-01,3,15.23319,97.84999
2023-01-01,2,17.98004,96.77694
2023-04-01,12,22.91335,93.67779
2023-04-01,10,22.640507,93.601841
2023-12-01,3,20.586667,93.196389
2021-03-01,1,23.5,95.5
2021-03-01,30,21,96
2021-03-01,1,21.936881,96.099927
2021-09-01,1,19.17006,97.23966
2021-09-01,2,13.924376,98.163883
2021-09-01,3,23.173189,94.145293
2021-09-01,10,23.173189,94.145293
2021-09-01,2,22.549555,93.381218
2022-01-01,2,22.0755,95.44988
2022-01-01,20,22.0755,95.44988
2022-02-01,4,21.997479,95.513824
2022-06-01,9,22.577867,95.806672
2022-06-01,1,20.888333,96.739922
2022-06-01,1,20.888333,96.739922
2022-06-01,3,23.580263,97.811198
2023-01-01,6,21.968699,94.665232
2023-02-01,22,24.685684,94.732747
2023-04-01,171,23.304259,95.707707
2023-10-01,20,22.271944,96.22111
2023-08-01,5,21.27608,94.88544
2023-10-01,4,21.27608,94.88544
2023-11-01,15,22.120754,95.165682
2023-11-01,2,22.56925,95.69818
2023-12-01,1,20.586667,93.196389
2023-12-01,5,22.96407,97.16126
2023-12-01,5,18.244185,96.684225
2021-03-01,1,21.993269,96.099257
2021-03-01,3,24.265796,97.234668
2021-03-01,1,17.718779,96.581764
2021-03-01,1,16.484722,97.625833
2021-09-01,20,22.549555,93.381218
2021-09-01,35,22.0229,94.09206
2021-09-01,2,19.816955,95.602036
2021-09-01,2,22.279096,94.151406
2021-09-01,7,21.793826,95.343868
2022-06-01,7,16.291672,98.713558
2023-02-01,2,22.301326,95.766639
2023-10-01,1,21.27608,94.88544
2023-10-01,2,21.27608,94.88544
2023-10-01,4,21.674599,94.882795
2023-10-01,3,21.96506,95.03061
2023-10-01,5,24.34454,96.02288
2023-10-01,3,23.788583,95.679642
2023-12-01,2,23.07661,97.40336
2023-12-01,2,23.07661,97.40336
2021-03-01,1,16.79845,96.150408
2021-03-01,1,16.79845,96.150408
2021-03-01,1,16.900996,96.111097
2021-09-01,1,22.531783,96.479359
2022-05-01,1,16.79845,96.150408
2022-07-01,3,16.35898,98.64944
2022-06-01,5,15.218164,97.789703
2022-05-01,152,16.25,97.75
2022-05-01,153,17.5,97.75
2022-04-01,6,21.039865,94.637926
2022-04-01,6,21.361959,94.54755
2022-12-01,1,23.788583,95.679642
2022-12-01,5,23.766019,95.813102
2022-12-01,7,16.537659,98.14844
2022-12-01,2,22.149919,94.883721
2022-12-01,3,21.33489,95.08438
2022-12-01,1,21.56003,95.193129
2023-02-01,2,22.76722,95.42758
2023-02-01,5,22.69915,93.428201
2023-02-01,3,22.109806,94.829397
2023-02-01,3,22.109806,94.829397
2023-03-01,1,22.301326,95.766639
2023-07-01,11,16.36824,98.558498
2023-09-01,1,21.96506,95.03061
2023-10-01,1,22.01316,94.93783
2021-03-01,11,18.009695,97.020268
2022-02-01,18,23.173189,94.145293
2022-02-01,9,19.711192,97.295318
2022-02-01,5,20.922044,92.360793
2022-04-01,3,13.924376,98.163883
2022-05-01,1,14.022205,98.157708
2022-05-01,11,22.850291,95.104417
2022-06-01,30,22.079597,94.929749
2022-06-01,2,22.119922,95.036995
2022-12-01,1,22.206323,94.992997
2022-12-01,40,24.235603,96.063987
2022-12-01,2,22.147711,95.190864
2022-12-01,1,23.03514,95.35919
2022-12-01,1,22.577867,95.806672
2022-12-01,9,19.26302,97.06431
2023-02-01,5,19.73971,97.079654
2023-02-01,2,13.63164,98.37602
2023-02-01,1,22.38165,95.73264
2023-08-01,2,22.740409,95.457548
2023-09-01,3,21.167395,94.858318
2023-09-01,1,22.32241,95.925
2023-10-01,15,23.474315,98.816565
2023-10-01,40,23.309008,98.180936
2023-11-01,3,18.28652,95.75204
2023-10-01,1,18.495737,95.550369
2021-04-01,2,22.120754,95.165682
2021-04-01,2,22,96.083333
2021-09-01,15,22.531636,94.065204
2021-09-01,2,22,96.083333
2021-09-01,2,19.48675,97.14581
2021-09-01,1,19.629685,96.132093
2021-09-01,1,16.79845,96.150408
2022-05-01,1,22,98
2022-05-01,5,21.674599,94.882795
2022-12-01,4,26.509765,96.712445
