year,value,iso3c
1986.54,1.501,NAC
1987.46,1.472,NAC
1988.37,1.448,NAC
1989.28,1.427,NAC
1990.19,1.407,NAC
1991.1,1.383,NAC
1992.01,1.352,NAC
1992.92,1.315,NAC
1993.84,1.277,NAC
1994.75,1.239,NAC
1995.66,1.202,NAC
1996.57,1.164,NAC
1997.48,1.12,NAC
1998.39,1.072,NAC
1999.3,1.023,NAC
2000.22,0.978,NAC
2001.13,0.94,NAC
2002.04,0.907,NAC
2002.95,0.875,NAC
2003.86,0.843,NAC
2004.77,0.808,NAC
2005.68,0.774,NAC
2006.59,0.754,NAC
2007.51,0.739,NAC
2008.42,0.718,NAC
2009.33,0.681,NAC
2010.24,0.619,NAC
2011.15,0.549,NAC
2012.06,0.476,NAC
2012.97,0.395,NAC
2013.89,0.304,NAC
2014.8,0.204,NAC
2015.71,0.097,NAC
2016.62,-0.016,NAC
2017.53,-0.136,NAC
2018.44,-0.266,NAC
2019.35,-0.406,NAC
2020.27,-0.556,NAC
2021.18,-0.717,NAC
2022.09,-0.887,NAC
2023,-1.064,NAC
1951,1.552,SAS
1951.91,1.487,SAS
1952.82,1.424,SAS
1953.73,1.365,SAS
1954.65,1.309,SAS
1955.56,1.256,SAS
1956.47,1.206,SAS
1957.38,1.159,SAS
1958.29,1.115,SAS
1959.2,1.073,SAS
1960.11,1.035,SAS
1961.03,1,SAS
1961.94,0.968,SAS
1962.85,0.938,SAS
1963.76,0.912,SAS
1964.67,0.889,SAS
1965.58,0.87,SAS
1966.49,0.853,SAS
1967.41,0.84,SAS
1968.32,0.83,SAS
1969.23,0.823,SAS
1970.14,0.809,SAS
1971.05,0.789,SAS
1971.96,0.771,SAS
1972.87,0.76,SAS
1973.78,0.764,SAS
1974.7,0.786,SAS
1975.61,0.819,SAS
1976.52,0.86,SAS
1977.43,0.904,SAS
1978.34,0.951,SAS
1979.25,1.025,SAS
1980.16,1.121,SAS
1981.08,1.225,SAS
1981.99,1.321,SAS
1982.9,1.397,SAS
1983.81,1.462,SAS
1984.72,1.542,SAS
1985.63,1.622,SAS
1986.54,1.687,SAS
1987.46,1.726,SAS
1988.37,1.748,SAS
1989.28,1.76,SAS
1990.19,1.765,SAS
1991.1,1.768,SAS
1992.01,1.77,SAS
1992.92,1.76,SAS
1993.84,1.731,SAS
1994.75,1.697,SAS
1995.66,1.673,SAS
