iso3c,date,gdp_growth
ABW,2019,0.95
ABW,2018,3.05
ABW,2017,3.49
ABW,2016,0.47
ABW,2015,2.56
ABW,2014,0.35
ABW,2013,4.86
ABW,2012,-2.48
ABW,2011,2.61
ABW,2010,-2.96
ABW,2009,-12.27
ABW,2008,1.06
ABW,2007,2.32
ABW,2006,-0.67
ABW,2005,-2.93
ABW,2004,5.03
ABW,2003,-0.03
ABW,2002,-1.63
ABW,2001,3.21
ABW,2000,6.52
ABW,1999,-0.13
ABW,1998,-0.49
ABW,1997,2.98
ABW,1996,-2.73
ABW,1995,-0.29
ABW,1994,2.75
ABW,1993,0.49
ABW,1992,1.11
ABW,1991,2.81
ABW,1990,0.13
ABW,1989,10.07
ABW,1988,18.3
ABW,1987,17.59
AUS,2024,-0.63
AUS,2023,1.09
AUS,2022,2.92
AUS,2021,1.86
AUS,2020,-1.36
AUS,2019,0.7
AUS,2018,1.35
AUS,2017,0.62
AUS,2016,1.16
AUS,2015,0.7
AUS,2014,1.08
AUS,2013,0.9
AUS,2012,2.15
AUS,2011,0.98
AUS,2010,0.63
AUS,2009,-0.12
AUS,2008,1.57
AUS,2007,1.91
AUS,2006,1.39
AUS,2005,1.91
AUS,2004,3.11
AUS,2003,1.91
AUS,2002,2.77
AUS,2001,0.73
AUS,2000,2.73
AUS,1999,3.89
AUS,1998,3.64
AUS,1997,2.8
AUS,1996,2.61
AUS,1995,2.74
AUS,1994,2.98
AUS,1993,3.12
AUS,1992,-0.69
AUS,1991,-1.65
AUS,1990,2.05
AUS,1989,2.14
AUS,1988,4.05
AUS,1987,1.01
AUS,1986,2.48
AUS,1985,3.89
AUS,1984,3.32
AUS,1983,-3.55
AUS,1982,1.55
AUS,1981,1.74
AUS,1980,1.79
AUS,1979,2.93
AUS,1978,-0.27
AUS,1977,2.43
AUS,1976,1.56
AUS,1975,0.1
AUS,1974,1.5
AUS,1973,1.06
AUS,1972,2.01
AUS,1971,0.54
AUS,1970,5.08
AUS,1969,4.83
AUS,1968,3.26
AUS,1967,4.97
AUS,1966,0.07
AUS,1965,3.92
AUS,1964,4.9
AUS,1963,4.2
AUS,1962,-1.15
AUS,1961,0.46
AUT,2024,-1.16
AUT,2023,-1.76
AUT,2022,4.33
AUT,2021,4.47
AUT,2020,-6.71
AUT,2019,1.3
AUT,2018,1.99
AUT,2017,1.56
AUT,2016,1.02
AUT,2015,0.17
AUT,2014,-0.03
AUT,2013,-0.84
AUT,2012,0.17
AUT,2011,2.58
AUT,2010,1.56
AUT,2009,-3.84
AUT,2008,1.14
AUT,2007,3.44
AUT,2006,2.76
AUT,2005,1.63
AUT,2004,1.93
AUT,2003,0.65
AUT,2002,0.99
AUT,2001,0.93
AUT,2000,2.94
AUT,1999,3.56
AUT,1998,3.38
AUT,1997,2.03
AUT,1996,2.08
AUT,1995,2.51
AUT,1994,2.01
AUT,1993,-0.3
AUT,1992,0.98
AUT,1991,2.41
AUT,1990,3.55
AUT,1989,3.42
AUT,1988,3.15
AUT,1987,1.29
AUT,1986,2.24
AUT,1985,2.45
AUT,1984,0.06
AUT,1983,3.14
AUT,1982,1.94
AUT,1981,-0.4
AUT,1980,1.73
AUT,1979,5.54
AUT,1978,-0.13
AUT,1977,5.04
AUT,1976,4.76
AUT,1975,-0.1
AUT,1974,3.77
AUT,1973,4.31
AUT,1972,5.59
AUT,1971,4.65
AUT,1970,6.75
AUT,1969,5.91
AUT,1968,3.93
AUT,1967,2.24
AUT,1966,4.9
AUT,1965,2.81
AUT,1964,5.42
AUT,1963,3.47
AUT,1962,2.02
AUT,1961,4.96
AZE,2024,3.57
AZE,2023,1.23
AZE,2022,4.67
AZE,2021,5.15
AZE,2020,-4.85
AZE,2019,1.62
AZE,2018,0.62
AZE,2017,-0.82
AZE,2016,-4.14
AZE,2015,-0.15
AZE,2014,1.52
AZE,2013,4.48
AZE,2012,0.85
AZE,2011,-2.85
AZE,2010,3.55
AZE,2009,7.12
AZE,2008,8.29
AZE,2007,24.05
AZE,2006,33
AZE,2005,26.66
AZE,2004,8.3
AZE,2003,9.38
AZE,2002,8.63
AZE,2001,9.05
AZE,2000,10.19
AZE,1999,6.46
AZE,1998,8.96
AZE,1997,4.78
AZE,1996,0.28
AZE,1995,-12.81
AZE,1994,-20.78
AZE,1993,-24.26
AZE,1992,-23.76
AZE,1991,-2.01
BHS,2024,2.9
BHS,2023,2.56
BHS,2022,10.55
BHS,2021,17.43
BHS,2020,-20.33
BHS,2019,-1.33
BHS,2018,1.82
BHS,2017,2.73
BHS,2016,-1.85
BHS,2015,0.2
BHS,2014,0.96
BHS,2013,-3.76
BHS,2012,3.48
BHS,2011,-0.54
BHS,2010,0.25
BHS,2009,-5.41
BHS,2008,-3.63
BHS,2007,0.02
BHS,2006,1.2
BHS,2005,2.16
BHS,2004,-0.35
BHS,2003,-2.44
BHS,2002,1.53
BHS,2001,1.37
BHS,2000,2.79
BHS,1999,5.72
BHS,1998,3.23
BHS,1997,-0.22
BHS,1996,2.59
BHS,1995,2.66
BHS,1994,1.35
BHS,1993,-1.56
BHS,1992,-5.57
BHS,1991,-5.82
BHS,1990,-3.3
BHS,1989,4.87
