iso3c,year,value,uhc
TJK,2000,28.2,66
TJK,2023,12.6,72
TKM,2000,29.7,76
TKM,2023,22.8,81
TLS,2000,38.8,30
TLS,2023,22.2,48
TON,2000,7.2,66
TON,2023,4.3,71
TTO,2000,19.7,70
TTO,2023,12.9,75
TUN,2000,17.2,61
TUN,2023,8.4,76
TUR,2000,18.5,64
TUR,2023,4.9,77
TUV,2000,24.6,57
TUV,2023,9,65
TZA,2000,32.8,20
TZA,2023,20.6,49
UGA,2000,32.4,24
UGA,2023,17.9,54
UKR,2000,11,70
UKR,2023,4.7,80
URY,2000,8.4,73
URY,2023,4.1,85
USA,2000,4.6,79
USA,2023,3.4,88
UZB,2000,28.4,78
UZB,2023,7.6,79
VCT,2000,13.3,67
VCT,2023,5.8,80
VEN,2000,10.8,63
VEN,2023,15,75
VGB,2000,9,
VGB,2023,6.6,
VNM,2000,15,52
VNM,2023,10.3,71
VUT,2000,14.4,46
VUT,2023,8.7,52
WSM,2000,8.8,58
WSM,2023,6.2,62
XKX,2000,27.3,
XKX,2023,6.8,
YEM,2000,36.8,41
YEM,2023,21.4,43
ZAF,2000,13.5,54
ZAF,2023,11.7,74
ZMB,2000,33.9,32
ZMB,2023,22,62
ZWE,2000,24.9,34
ZWE,2023,22.4,59
